"groupID"	"featureID"	"exonBaseMean"	"dispersion"	"stat"	"pvalue"	"padj"	"Adult16wk"	"Adult6wk"	"E13.5"	"Sham12wk"	"TAC4wk12wk"	"log2fold_Adult16wk_E13.5"	"log2fold_Adult6wk_E13.5"	"log2fold_Sham12wk_E13.5"	"log2fold_TAC4wk12wk_E13.5"	"genomicData.seqnames"	"genomicData.start"	"genomicData.end"	"genomicData.width"	"genomicData.strand"	"countData.SRR33"	"countData.SRR34"	"countData.SRR35"	"countData.SRR36"	"countData.SRR37"	"countData.SRR38"	"countData.SRR39"	"countData.SRR40"	"countData.SRR41"	"countData.SRR42"	"countData.SRR43"	"countData.SRR44"	"countData.SRR45"	"countData.SRR46"	"countData.SRR47"	"countData.SRR48"	"countData.SRR49"	"countData.SRR50"	"countData.SRR51"	"countData.SRR52"	"countData.SRR53"	"countData.SRR54"	"countData.SRR55"	"countData.SRR56"	"countData.SRR57"	"countData.SRR58"	"countData.SRR59"	"transcripts"
"ENSMUSG00000002107:E023"	"ENSMUSG00000002107"	"E023"	30.0371960981608	0.0115130644125003	21.3892350079199	0.000265077370509422	0.000655139407942974	22.9306035566181	22.9608093170675	35.714181612993	39.857878819464	35.3080029223098	-0.639222733883933	-0.637323567814693	0.158367871517392	-0.0165018402484806	"chr2"	6585974	6586108	135	"-"	134	82	87	70	55	119	95	9	7	10	18	13	5	15	8	4	9	8	9	73	68	54	89	65	72	74	61	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000182355", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000183984", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E024"	"ENSMUSG00000002107"	"E024"	0.208052339656073	0.016986989436376	2.86843822661848	0.580077768451077	0.644981574711337	5.45874502881019e-05	2.60495655454778e-05	0.391262206690785	0.421919649818729	0.388923853430184	-12.8072788296703	-13.8745888303938	0.108832516631695	-0.00864804160684315	"chr2"	6592494	6592800	307	"-"	1	0	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	1	ENSMUST00000182355
"ENSMUSG00000002107:E025"	"ENSMUSG00000002107"	"E025"	13.9786107291426	0.006317663133498	59.512436441597	3.67258247953170e-12	1.70079790556954e-11	5.62192211876306	7.76653388634124	18.8735775403791	24.148876555944	21.4342841872576	-1.74723254269148	-1.28102512643943	0.355588158345681	0.18355232234686	"chr2"	6600034	6600097	64	"-"	56	47	34	32	40	69	60	3	4	3	2	6	3	3	2	3	1	1	3	45	41	33	53	42	44	35	44	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114927", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E026"	"ENSMUSG00000002107"	"E026"	38.5689748564344	0.0023117734134306	10.3749178654127	0.0345642820099001	0.0586731762232112	39.3640127392121	34.3793905039334	36.2762633025711	37.977579119898	45.7492004099394	0.117851439176929	-0.0774818881139987	0.0661220875549088	0.334720672355298	"chr2"	6604024	6604170	147	"-"	104	87	96	82	81	101	96	16	19	8	17	26	7	19	11	13	17	19	12	69	64	61	76	72	103	97	81	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000183984", "ENSMUST00000114924", "ENSMUST00000114927", "ENSMUST00000142941", "ENSMUST00000182851", "ENSMUST00000170438", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000183209", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E027"	"ENSMUSG00000002107"	"E027"	9.40327247629202	0.011955589225629	5.21494371139124	0.265945295951158	0.341010500453502	8.23059861113699	9.59025021506647	9.70346617290548	8.00943902690029	12.2133269040925	-0.237502822505886	-0.0169317276602082	-0.276798982871938	0.331884154023009	"chr2"	6604171	6604182	12	"-"	34	25	19	23	25	24	23	7	9	0	2	7	1	3	2	5	6	3	0	16	17	10	14	15	26	21	32	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000183209", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000148321", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000183984", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E028"	"ENSMUSG00000002107"	"E028"	2.10692926460511	0.00971361319842444	5.92006146543474	0.205198198144996	0.276495877161477	3.02756271889748	2.2184268640711	1.50827183458046	1.96845352453532	0.908056021383062	1.00526037928592	0.556640524161577	0.384166182896167	-0.732043257125319	"chr2"	6604183	6607764	3582	"-"	5	5	3	3	3	5	3	1	1	0	0	3	1	1	0	3	1	1	1	6	1	5	2	2	1	2	2	ENSMUST00000183269
"ENSMUSG00000002107:E029"	"ENSMUSG00000002107"	"E029"	0.136761932229401	0.0188608391578802	4.55434051853547	0.336152640468718	0.41648002468462	4.10080499863413e-05	0.370066963161259	1.75636463810008e-05	1.94242338071362e-05	0.12972760016786	1.22331474904143	14.3629063345435	0.145265299095142	12.8506054388103	"chr2"	6607765	6607881	117	"-"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	c("ENSMUST00000183269", "ENSMUST00000138347")
"ENSMUSG00000002107:E030"	"ENSMUSG00000002107"	"E030"	11.1331549558032	0.0149981937895408	27.2113541842694	1.80157028994081e-05	5.08490549290987e-05	6.91356765280961	7.40264640319534	14.3057005329579	12.3864777135666	19.5718493414154	-1.04908785534353	-0.950477123249237	-0.207824153273471	0.452189936033433	"chr2"	6607882	6607961	80	"-"	45	39	33	32	33	31	41	3	2	4	5	4	2	1	0	7	0	4	4	31	26	16	15	36	33	36	45	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000138347", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000183209", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000148321", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000183984", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E031"	"ENSMUSG00000002107"	"E031"	7.78655977279654	0.0139777287094322	12.8637750232514	0.0119609554573912	0.0227305806899426	3.89364216409439	8.1313598518066	9.6423910316615	7.73873665803961	11.3335534207413	-1.30827063439755	-0.245894294833991	-0.317292870203973	0.233137419542804	"chr2"	6615688	6615728	41	"-"	21	22	25	21	29	20	33	1	8	2	4	7	0	1	2	3	0	2	1	19	15	11	10	19	19	20	29	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000138347", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000183209", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000148321", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000183984", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E032"	"ENSMUSG00000002107"	"E032"	8.12017898207222	0.00888464782748564	10.8829394739719	0.0279115972946716	0.0485906274071472	10.8016657799471	8.13243400053864	8.14341187724036	4.64811088243878	7.41471117653227	0.407548537034254	-0.00194616375673523	-0.808988887568605	-0.135242875935905	"chr2"	6615729	6615822	94	"-"	16	16	17	20	26	25	25	2	7	3	2	7	1	4	2	5	2	5	7	9	8	10	6	12	10	14	21	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000138347", "ENSMUST00000137733", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000183209", "ENSMUST00000183984", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000148321", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000182404", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E033"	"ENSMUSG00000002107"	"E033"	0.160868869183874	0.0244067017324585	2.80780409602625	0.590486339386701	0.648990746284461	4.86170678942187e-05	0.36977691652051	0.0557561944178981	0.280521601622232	0.129556009564066	-10.163453492809	2.7294511667057	2.33090787013009	1.21637193768571	"chr2"	6616003	6616180	178	"-"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	ENSMUST00000148321
"ENSMUSG00000002107:E034"	"ENSMUSG00000002107"	"E034"	0.504900478428287	0.0499748497849511	11.7449479660295	0.0193521872904215	0.0352327989982101	7.56397125245227e-05	3.2442735887241e-05	1.38161182798165	1.1217667823888	0.651580745312002	-14.1568489331775	-15.378097326612	-0.300579571079467	-1.08433646203608	"chr2"	6620239	6623527	3289	"-"	8	1	6	1	2	4	3	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	1	3	0	0	2	ENSMUST00000182560
"ENSMUSG00000002107:E035"	"ENSMUSG00000002107"	"E035"	0.924644373815362	0.0332158814029065	10.0940998937555	0.0388720651509179	0.0646061849372399	1.29644916750567	1.48072930083125	0.835843074466015	0.140309765859651	0.259701660396977	0.633261626891541	0.825003905029744	-2.57461668153356	-1.68637687075954	"chr2"	6623528	6624670	1143	"-"	5	2	2	2	1	3	0	1	0	0	3	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	c("ENSMUST00000182560", "ENSMUST00000126742")
"ENSMUSG00000002107:E036"	"ENSMUSG00000002107"	"E036"	0.960508043600726	0.0104543213531493	14.5516835022573	0.00572735699062675	0.0114307501444726	1.7299580998783	0.369798106352552	1.67602122547263	0.281218264167717	0.648344246317317	0.0456966760283602	-2.18023067755725	-2.57527821904413	-1.37020848147852	"chr2"	6624671	6624703	33	"-"	4	4	2	5	3	6	6	1	0	0	0	0	0	1	2	0	0	0	1	0	0	2	0	1	2	0	2	c("ENSMUST00000182560", "ENSMUST00000114934", "ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000138347", "ENSMUST00000137733", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000182404", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000183984", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000126742", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E037"	"ENSMUSG00000002107"	"E037"	0.858105832622031	0.0460327502845983	4.67571461852145	0.322217584844183	0.401299707495236	1.73063972889448	0.369467136984157	0.899618923256001	0.425022558237963	0.518160783844747	0.943919513666232	-1.28386796156459	-1.08177459327523	-0.795914176534879	"chr2"	6624704	6624719	16	"-"	2	1	2	3	5	1	2	1	0	0	0	0	0	1	2	0	0	0	1	0	0	3	0	1	2	0	1	c("ENSMUST00000182560", "ENSMUST00000114934", "ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000138347", "ENSMUST00000137733", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000182404", "ENSMUST00000123142", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000183984", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000126742", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E038"	"ENSMUSG00000002107"	"E038"	1.84163253741311	0.0332942656036271	8.369806157433	0.0789333124003159	0.123043104624022	1.73230127986994	2.22035940043507	0.893524178209215	2.51475262636026	1.17259713139432	0.955111190429091	1.31321454524471	1.49283781723795	0.392128759147207	"chr2"	6660293	6664002	3710	"-"	2	2	1	2	2	2	5	0	0	1	1	3	1	0	0	2	2	0	0	3	2	3	10	3	0	2	4	ENSMUST00000182523
"ENSMUSG00000002107:E039"	"ENSMUSG00000002107"	"E039"	0.121406576007005	0.0194802837335592	2.81190193556188	0.589779978411881	0.648990746284461	4.2994022130162e-05	0.369800930255661	0.0557686812657986	0.140353190182432	1.91393924274395e-05	-10.3411033592761	2.72922179212544	1.33153479440869	-11.5086944085951	"chr2"	6664003	6664114	112	"-"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	c("ENSMUST00000114923", "ENSMUST00000182523")
