"groupID"	"featureID"	"exonBaseMean"	"dispersion"	"stat"	"pvalue"	"padj"	"genomicData.seqnames"	"genomicData.start"	"genomicData.end"	"genomicData.width"	"genomicData.strand"	"countData.SRR33"	"countData.SRR34"	"countData.SRR35"	"countData.SRR36"	"countData.SRR37"	"countData.SRR38"	"countData.SRR39"	"countData.SRR52"	"countData.SRR53"	"countData.SRR54"	"countData.SRR55"	"transcripts"
"ENSMUSG00000002107:E027"	"ENSMUSG00000002107"	"E027"	20.6100363392072	0.0058331776156207	1.44448739051529	0.229414561251367	0.413530768284291	"chr2"	6604171	6604182	12	"-"	34	25	19	23	25	24	23	16	17	10	14	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000183209", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000148321", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000183984", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E028"	"ENSMUSG00000002107"	"E028"	4.27772146627803	0.0156636899176903	0.533152028888111	0.465284687370363	0.655920877481079	"chr2"	6604183	6607764	3582	"-"	5	5	3	3	3	5	3	6	1	5	2	ENSMUST00000183269
"ENSMUSG00000002107:E029"	"ENSMUSG00000002107"	"E029"	0	NA	NA	NA	NA	"chr2"	6607765	6607881	117	"-"	0	0	0	0	0	0	0	0	0	0	0	c("ENSMUST00000183269", "ENSMUST00000138347")
"ENSMUSG00000002107:E030"	"ENSMUSG00000002107"	"E030"	31.1379686246289	0.0188656107797888	0.781065305387358	0.376815529450828	0.568628253779713	"chr2"	6607882	6607961	80	"-"	45	39	33	32	33	31	41	31	26	16	15	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000138347", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000183209", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000148321", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000183984", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E031"	"ENSMUSG00000002107"	"E031"	20.2599002976585	0.0126639023525638	1.47462564646543	0.224617286635308	0.409211856742871	"chr2"	6615688	6615728	41	"-"	21	22	25	21	29	20	33	19	15	11	10	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000182404", "ENSMUST00000138347", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000183209", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000148321", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000183984", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E032"	"ENSMUSG00000002107"	"E032"	14.856697842364	0.00779306488924433	8.024371161376	0.00461520471425123	0.0186016921030773	"chr2"	6615729	6615822	94	"-"	16	16	17	20	26	25	25	9	8	10	6	c("ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000138347", "ENSMUST00000137733", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000183209", "ENSMUST00000183984", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000148321", "ENSMUST00000114934", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000182404", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E033"	"ENSMUSG00000002107"	"E033"	0.367544090464692	0.194470184592953	1.58448844082818	0.20811535264102	0.387605173506138	"chr2"	6616003	6616180	178	"-"	1	0	0	0	0	0	0	2	0	0	0	ENSMUST00000148321
"ENSMUSG00000002107:E034"	"ENSMUSG00000002107"	"E034"	2.7856027010099	0.0485100937806576	0.212212761123027	0.645038565314205	0.795971234537972	"chr2"	6620239	6623527	3289	"-"	8	1	6	1	2	4	3	4	2	1	1	ENSMUST00000182560
"ENSMUSG00000002107:E035"	"ENSMUSG00000002107"	"E035"	1.02234545402855	0.0346558561195071	4.79615392775182	0.0285233439038921	0.0835683935429822	"chr2"	6623528	6624670	1143	"-"	5	2	2	2	1	3	0	1	0	0	0	c("ENSMUST00000182560", "ENSMUST00000126742")
"ENSMUSG00000002107:E036"	"ENSMUSG00000002107"	"E036"	2.2231237324101	0.0158665145618245	9.65077052081963	0.00189272175825749	0.00831801404286843	"chr2"	6624671	6624703	33	"-"	4	4	2	5	3	6	6	0	0	2	0	c("ENSMUST00000182560", "ENSMUST00000114934", "ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000138347", "ENSMUST00000137733", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000182404", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000183984", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000126742", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E037"	"ENSMUSG00000002107"	"E037"	1.68237650239839	0.0623741452563556	1.43477079854384	0.230987416938292	0.413530768284291	"chr2"	6624704	6624719	16	"-"	2	1	2	3	5	1	2	0	0	3	0	c("ENSMUST00000182560", "ENSMUST00000114934", "ENSMUST00000182706", "ENSMUST00000100429", "ENSMUST00000150624", "ENSMUST00000138347", "ENSMUST00000137733", "ENSMUST00000182851", "ENSMUST00000142941", "ENSMUST00000182404", "ENSMUST00000123142", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000183984", "ENSMUST00000183091", "ENSMUST00000183269", "ENSMUST00000126742", "ENSMUST00000182879", "ENSMUST00000002176")
"ENSMUSG00000002107:E038"	"ENSMUSG00000002107"	"E038"	4.11599557905152	0.0288093319243811	7.14688116011072	0.0075094463646783	0.0274615520343345	"chr2"	6660293	6664002	3710	"-"	2	2	1	2	2	2	5	3	2	3	10	ENSMUST00000182523
"ENSMUSG00000002107:E039"	"ENSMUSG00000002107"	"E039"	0.20620118837617	0.137126825577596	0.384464390365423	0.535223601378655	NA	"chr2"	6664003	6664114	112	"-"	1	0	0	0	0	0	0	1	0	0	0	c("ENSMUST00000114923", "ENSMUST00000182523")
"ENSMUSG00000002107:E040"	"ENSMUSG00000002107"	"E040"	34.1173987588434	0.0568925877126156	3.80768396045735	0.0510179490297246	0.136684451678567	"chr2"	6664115	6664197	83	"-"	47	33	66	55	21	34	76	25	12	15	30	c("ENSMUST00000150624", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000114923", "ENSMUST00000002176", "ENSMUST00000183984", "ENSMUST00000142941", "ENSMUST00000182706", "ENSMUST00000138347", "ENSMUST00000182851", "ENSMUST00000123142", "ENSMUST00000114934", "ENSMUST00000126742", "ENSMUST00000182879", "ENSMUST00000182560", "ENSMUST00000100429", "ENSMUST00000182404", "ENSMUST00000137733", "ENSMUST00000182523", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000183091", "ENSMUST00000183269"
)
"ENSMUSG00000002107:E041"	"ENSMUSG00000002107"	"E041"	37.0052858736374	0.0745021690825049	2.93578078882405	0.086636764440839	0.20002312896249	"chr2"	6721417	6721455	39	"-"	49	43	72	52	25	28	86	29	11	15	36	c("ENSMUST00000150624", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000114923", "ENSMUST00000002176", "ENSMUST00000183984", "ENSMUST00000142941", "ENSMUST00000182706", "ENSMUST00000138347", "ENSMUST00000182851", "ENSMUST00000123142", "ENSMUST00000114934", "ENSMUST00000126742", "ENSMUST00000182879", "ENSMUST00000182560", "ENSMUST00000100429", "ENSMUST00000137733", "ENSMUST00000182523", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000183091", "ENSMUST00000183269")
"ENSMUSG00000002107:E042"	"ENSMUSG00000002107"	"E042"	109.160328003054	0.00224942783675907	0.23446259705571	0.628234442359109	0.782948894581875	"chr2"	6721456	6721613	158	"-"	140	83	107	102	128	147	138	87	57	77	106	c("ENSMUST00000182657", "ENSMUST00000150624", "ENSMUST00000114927", "ENSMUST00000114924", "ENSMUST00000114923", "ENSMUST00000002176", "ENSMUST00000183984", "ENSMUST00000142941", "ENSMUST00000182706", "ENSMUST00000138347", "ENSMUST00000182851", "ENSMUST00000123142", "ENSMUST00000114934", "ENSMUST00000126742", "ENSMUST00000182879", "ENSMUST00000182560", "ENSMUST00000100429", "ENSMUST00000137733", "ENSMUST00000182523", "ENSMUST00000170438", "ENSMUST00000183209", "ENSMUST00000183091", "ENSMUST00000183269"
)
"ENSMUSG00000002107:E043"	"ENSMUSG00000002107"	"E043"	0.420058111619486	0.0985919555979051	1.74013717941833	0.187121446142094	0.357901825897411	"chr2"	6721614	6721615	2	"-"	0	0	0	1	0	0	0	0	1	0	1	c("ENSMUST00000183269", "ENSMUST00000126742", "ENSMUST00000182879", "ENSMUST00000100429")
"ENSMUSG00000002107:E044"	"ENSMUSG00000002107"	"E044"	0.528345268694069	0.0635060120463112	0.277867651338255	0.598102251593432	0.764411296041605	"chr2"	6721616	6721778	163	"-"	0	0	1	0	1	1	0	0	1	0	1	ENSMUST00000126742
"ENSMUSG00000002107:E045"	"ENSMUSG00000002107"	"E045"	0.299704170621402	0.0585796933666289	2.98693642557492	0.0839388318603274	0.195363015098113	"chr2"	6721779	6721928	150	"-"	1	1	1	0	1	1	0	0	0	0	0	c("ENSMUST00000114927", "ENSMUST00000126742")
"ENSMUSG00000002107:E046"	"ENSMUSG00000002107"	"E046"	0.299583164812517	0.0976581097262658	0.0229511041409012	0.87958429381617	0.955535779794881	"chr2"	6721929	6722036	108	"-"	2	0	0	0	0	0	1	0	0	0	1	ENSMUST00000126742
"ENSMUSG00000002107:E047"	"ENSMUSG00000002107"	"E047"	0.161778488700754	0.0921107600735928	1.66242338119699	0.197276441214564	NA	"chr2"	6722037	6722209	173	"-"	1	0	0	1	0	0	1	0	0	0	0	c("ENSMUST00000182657", "ENSMUST00000126742")
"ENSMUSG00000002107:E048"	"ENSMUSG00000002107"	"E048"	0.0448582862876474	0.213907060130242	0.352554856991361	0.552670438380351	NA	"chr2"	6722210	6722216	7	"-"	1	0	0	0	0	0	0	0	0	0	0	ENSMUST00000126742
"ENSMUSG00000002107:E049"	"ENSMUSG00000002107"	"E049"	3.43969852551828	0.0172562457191843	1.5663269207958	0.210741236656737	0.389599112786072	"chr2"	6871867	6871972	106	"-"	1	3	4	0	4	4	4	4	3	1	5	ENSMUST00000123142
"ENSMUSG00000002107:E050"	"ENSMUSG00000002107"	"E050"	9.92519157281628	0.0321817367619599	4.35410612813939	0.0369198294494226	0.105095650875913	"chr2"	6872356	6872597	242	"-"	23	8	6	20	16	16	11	6	5	6	5	ENSMUST00000183984
"ENSMUSG00000002107:E051"	"ENSMUSG00000002107"	"E051"	0.547597524810825	0.0856535661981869	3.3870172522725	0.0657117219709928	0.164607863537337	"chr2"	6884367	6884628	262	"-"	0	0	0	0	1	0	0	2	0	0	1	ENSMUST00000138347
"ENSMUSG00000002107:E052"	"ENSMUSG00000002107"	"E052"	0.836684289538165	0.0686820102650619	1.1640792991723	0.280621133445729	0.471782509584934	"chr2"	6884852	6884892	41	"-"	0	0	0	1	0	1	1	0	1	2	0	c("ENSMUST00000182560", "ENSMUST00000182851", "ENSMUST00000182523", "ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000170438", "ENSMUST00000183091")
"ENSMUSG00000002107:E053"	"ENSMUSG00000002107"	"E053"	0.820636810123791	0.0470750206983124	0.620056569437423	0.43102626518465	0.629574807164751	"chr2"	6884893	6884946	54	"-"	0	0	0	1	1	1	1	1	1	1	0	c("ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000183091", "ENSMUST00000182851", "ENSMUST00000170438")
"ENSMUSG00000002107:E054"	"ENSMUSG00000002107"	"E054"	0.412544065290968	0.0997288606163701	1.76010091877328	0.184611928416581	0.356534890176738	"chr2"	6884947	6884947	1	"-"	0	0	0	0	1	0	0	1	1	0	0	c("ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000182851", "ENSMUST00000170438")
"ENSMUSG00000002107:E055"	"ENSMUSG00000002107"	"E055"	0.652049182374255	0.0627343041333919	1.97980684447208	0.159410756784615	0.319459156596369	"chr2"	6884948	6884996	49	"-"	0	1	0	0	1	0	0	1	1	0	1	c("ENSMUST00000114934", "ENSMUST00000114924", "ENSMUST00000170438")
"ENSMUSG00000002107:E056"	"ENSMUSG00000002107"	"E056"	29.9781517467749	0.0872437562036705	5.18694742388169	0.0227571549733314	0.0682714649199943	"chr2"	6962379	6962414	36	"-"	44	7	21	12	21	47	11	23	21	26	44	c("ENSMUST00000182706", "ENSMUST00000182404", "ENSMUST00000137733", "ENSMUST00000114923", "ENSMUST00000183209", "ENSMUST00000002176")
"ENSMUSG00000002107:E057"	"ENSMUSG00000002107"	"E057"	4.0331385445437	0.0260459759402067	5.7040957548648	0.0169253722186729	0.0547071708487426	"chr2"	7077265	7078956	1692	"-"	3	1	6	2	1	2	1	3	4	5	4	ENSMUST00000182749
"ENSMUSG00000002107:E058"	"ENSMUSG00000002107"	"E058"	1.50776889455056	0.0277635207506773	0.784704551373693	0.375706171461514	0.568628253779713	"chr2"	7081039	7081106	68	"-"	1	1	1	2	1	2	1	3	0	0	3	ENSMUST00000182749
"ENSMUSG00000002107:E059"	"ENSMUSG00000002107"	"E059"	78.8893206260092	0.0423314757234576	18.3129294708234	1.87430756080939e-05	0.000128633984652809	"chr2"	7081107	7081207	101	"-"	87	15	68	32	49	66	52	75	67	63	114	c("ENSMUST00000182749", "ENSMUST00000183209", "ENSMUST00000182706", "ENSMUST00000114923")
"ENSMUSG00000002107:E060"	"ENSMUSG00000002107"	"E060"	33.1392003820648	0.0135951514945493	14.7975187174633	0.000119692887015989	0.000740322671543338	"chr2"	7081208	7081242	35	"-"	28	11	30	22	23	20	42	35	26	22	45	c("ENSMUST00000182749", "ENSMUST00000183209", "ENSMUST00000182706")
"ENSMUSG00000002107:E061"	"ENSMUSG00000002107"	"E061"	8.81165841301244	0.00761161704155426	4.970225431714	0.0257872862612522	0.0764463338277358	"chr2"	7081243	7081302	60	"-"	15	9	13	11	7	17	18	8	5	2	6	c("ENSMUST00000182749", "ENSMUST00000183209")
"ENSMUSG00000002107:E062"	"ENSMUSG00000002107"	"E062"	0.552135671370744	0.0411149623881247	6.15666145875068	0.0130918079772807	0.0457345955104452	"chr2"	7081303	7081313	11	"-"	2	1	1	1	0	4	1	0	0	0	0	ENSMUST00000182749
"ENSMUSG00000002107:E063"	"ENSMUSG00000002107"	"E063"	0	NA	NA	NA	NA	"chr2"	7185472	7185510	39	"-"	0	0	0	0	0	0	0	0	0	0	0	c("ENSMUST00000182404", "ENSMUST00000137733", "ENSMUST00000002176")
"ENSMUSG00000002107:E064"	"ENSMUSG00000002107"	"E064"	0	NA	NA	NA	NA	"chr2"	7394076	7394392	317	"-"	0	0	0	0	0	0	0	0	0	0	0	ENSMUST00000182037
"ENSMUSG00000002107:E065"	"ENSMUSG00000002107"	"E065"	0	NA	NA	NA	NA	"chr2"	7395858	7395893	36	"-"	0	0	0	0	0	0	0	0	0	0	0	c("ENSMUST00000182404", "ENSMUST00000137733", "ENSMUST00000182037", "ENSMUST00000002176")
"ENSMUSG00000002107:E066"	"ENSMUSG00000002107"	"E066"	0	NA	NA	NA	NA	"chr2"	7395894	7395922	29	"-"	0	0	0	0	0	0	0	0	0	0	0	c("ENSMUST00000137733", "ENSMUST00000182037", "ENSMUST00000002176")
"ENSMUSG00000002107:E067"	"ENSMUSG00000002107"	"E067"	0	NA	NA	NA	NA	"chr2"	7395923	7396000	78	"-"	0	0	0	0	0	0	0	0	0	0	0	ENSMUST00000002176
"ENSMUSG00000002107:E068"	"ENSMUSG00000002107"	"E068"	0	NA	NA	NA	NA	"chr2"	7396132	7396198	67	"-"	0	0	0	0	0	0	0	0	0	0	0	ENSMUST00000137733
